year,state,district,candidate,candidate_normalized,party,votes,money_raised
,Iowa,1,Abby Finkenauer,finkenauer,Democratic,170342,3885166
,Iowa,1,Rod Blum,blum,Republician,153442,2524404
,Iowa,1,Troy Hageman,hageman,Libertarian,,0
,Iowa,2,David Loebsack,loebsack,Democratic,171434,1966822
,Iowa,2,Chistopher Peters,peters,Republician,133267,687056
,Iowa,2,Mark Strauss,strauss,Libertarian,,0
,Iowa,2,Daniel Clark,clark,Independent,,0
,Iowa,3,David Young,young,Republician,167932,2526493
,Iowa,3,Cindy Axne,axne,Democratic,175642,4329314
,Iowa,3,Paul Knupp,knupp,Third,,0
,Iowa,3,Mark Elworth Jr,elworth,Third,,0
,Iowa,3,Joe Grandanete,grandanette,Independent,,0
,Iowa,3,Bryan Holder,holder,Libertarian,,0
,Iowa,4,Steven A King,king,Republician,157730,736629
,Iowa,4,JD Scholten,scholten,Democratic,147364,1684427
,Michigan,1,John Bergman,bergman,Republician,185861,1265717
,Michigan,1,Matt Morgan,morgan,Democratic,144294,1224892
,Michigan,2,Bill Hulzenga,hulzenga,Republician,169349,1987840
,Michigan,2,Rob Davidson,davidson,Democratic,131621,1051411
,Michigan,2,Ron Graeser,graeser,Third,,0
,Michigan,3,Justin Amash,amash,Republician,167486,608896
,Michigan,3,Catherine Albro,albro,Democratic,132976,143823
,Michigan,3,Douglas Smith,smith,Independent,,0
,Michigan,3,Theodore Gerrard,gerrard,Third,,0
,Michigan,4,John Moolenaar,moolenaar,Republician,178515,1108421
,Michigan,4,Jerome C Hilliard,hilliard,Democratic,106539,0
,Michigan,5,Dan Kildee,kildee,Democratic,164521,1113146
,Michigan,5,Travis Wines,wines,Republician,99269,0
,Michigan,6,Fred Upton,upton,Republician,145556,2894922
,Michigan,6,Matt Longjohn,longjohn,Democratic,132681,1263082
,Michigan,7,Tim Walberg,walberg,Republician,156885,2039041
,Michigan,7,Gretchen Driskell,driskell,Democratic,136410,2391357
,Michigan,8,Mike Bishop,bishop,Republician,159804,3162218
,Michigan,8,Elissa Slotkin,slotkin,Democratic,172878,6205628
,Michigan,8,Brian Ellison,ellison,Libertarian,,8023
,Michigan,9,Andy Levin,levin,Democratic,181844,1287528
,Michigan,9,Candius Stearns,stearns,Republician,112309,189181
,Michigan,9,John V McDermott,mcdermott,Third,,0
,Michigan,10,Paul Mitchell,mitchell,Republician,182870,651550
,Michigan,10,Jeremy Michael Peruski,peruski,Independent,,208088
,Michigan,10,Kimberly Bizon,bizon,Democratic,106098,58255
,Michigan,10,Harley Mikkelson,mikkelson,Third,,0
,Michigan,11,Haley Stevens,stevens,Democratic,181706,2556174
,Michigan,11,Lena Epstein,epstein,Republician,158331,2253426
,Michigan,11,Cooper Nye,nye,Independent,,6442
,Michigan,11,Leonard Schwartz,schwartz,Libertarian,,0
,Michigan,12,Debbie Dingell,dingell,Democratic,199690,1145816
,Michigan,12,Jeff Jones,jones,Republician,84220,22087
,Michigan,12,Niles Niemuth,niemuth,Third,,10087
,Michigan,12,Steve Young,young,Third,,494
,Michigan,12,Gary Walkowicz,walkowicz,Third,,0
,Michigan,13,Rashida Tlaib,tlaib,Democratic,163782,1475091
,Michigan,13,D Etta Wilcoxon,wilcoxon,Third,7903,0
,Michigan,13,Sam Johnson,johnson,Third,21978,0
,Michigan,13,Marc Sosnowski,sosnowski,Third,,0
,Michigan,14,Brenda Lawrence,lawrence,Democratic,210973,797929
,Michigan,14,Marc Herschfus,herschfus,Republician,45539,0
,North Carolina,1,G K Butterfield,butterfield,Democratic,190445,714219
,North Carolina,1,Roger Allison,allison,Republician,82209,28314
,North Carolina,2,George Holding,holding,Republician,170050,2619233
,North Carolina,2,Linda Coleman,coleman,Democratic,151966,1121429
,North Carolina,2,Japheth Matemu,matemu,Libertarian,,23103
,North Carolina,2,Timmy Strickland,strickland,Independent,,0
,North Carolina,3,Walter B Jones Jr,jones,Republician,187901,554843
,North Carolina,4,David Price,price,Democratic,247067,850934
,North Carolina,4,Barbara Howe,howe,Libertarian,,3207
,North Carolina,4,Perry Whitlock,whitlock,Libertarian,,0
,North Carolina,4,Steve Loor,loor,Republician,82052,0
,North Carolina,5,Virginia Foxx,foxx,Republician,159915,2101024
,North Carolina,5,Denise Darcel Adams,adams,Democratic,120462,341917
,North Carolina,6,Mark Walker,walker,Republician,160636,1216685
,North Carolina,6,Ryan Watts,watts,Democratic,123601,328094
,North Carolina,7,David Rouzer,rouzer,Republician,156797,1455662
,North Carolina,7,Kyle Horton,horton,Democratic,120804,771023
,North Carolina,8,Richard Hudson,hudson,Republician,141371,2286871
,North Carolina,8,Frank McNeill,mcneill,Democratic,114057,634257
,North Carolina,9,Dan McCready,mccready,Democratic,138341,4854674
,North Carolina,9,Mark Harris,harris,Republician,139246,1841836
,North Carolina,9,Jeff Scott,scott,Libertarian,,0
,North Carolina,10,Patrick McHenry,mchenry,Republician,164969,3496042
,North Carolina,10,David Wilson Brown,brown,Democratic,113259,116567
,North Carolina,10,Samaria Graham,graham,Independent,,0
,North Carolina,11,Mark R Meadows,meadows,Republician,178012,1643847
,North Carolina,11,Phillip Price,price,Democratic,116508,222626
,North Carolina,11,Clifton Ingram Jr,ingram,Libertarian,,0
,North Carolina,12,Alma Adams,adams,Democratic,203974,522988
,North Carolina,12,Paul Wright,wright,Republician,75164,0
,North Carolina,13,Ted Budd,budd,Republician,147570,2026781
,North Carolina,13,Kathy Manning,manning,Democratic,130402,3570403
,North Carolina,13,Tom Bailey,bailey,Libertarian,,5855
,Georgia,1,Buddy Carter,carter,Republician,144742,1659101
,Georgia,1,Lisa Ring,ring,Democratic,105942,203799
,Georgia,2,Sanford Bishop,bishop,Democratic,136700,1080932
,Georgia,2,Herman West Jr,west,Republician,92471,18749
,Georgia,3,Drew Ferguson,ferguson,Republician,191996,1172240
,Georgia,3,Chuck Enderlin,enderlin,Democratic,101010,48882
,Georgia,4,Hank Johnson,johnson,Democratic,227717,460415
,Georgia,4,Joe Profit,profit,Republician,61092,81618
